word,phonetic,meaning,meaningEn,example,exampleTranslation,roots
extrapolate,/ɪkˈstræpəleɪt/,v. 推断,to predict from data,Extrapolate future trends.,推断未来趋势。,extra+pol(打磨)+ate
engender,/ɪnˈdʒendə/,v. 产生,to cause,Engender trust.,产生信任。,en+gender(产生)
perpetuate,/pəˈpetʃueɪt/,v. 使延续,to continue,Perpetuate traditions.,延续传统。,per+pet(追求)+uate
innate,/ɪˈneɪt/,adj. 先天的,inborn,Innate talent.,先天才能。,in+nate(出生)
heuristic,/hjʊˈrɪstɪk/,adj. 启发式的,enabling discovery,A heuristic approach works best.,启发式方法效果最好。,
taxonomy,/tækˈsɒnəmi/,n. 分类学,classification system,The taxonomy of species.,物种分类学。,taxo(排列)+nomy(法则)
epistemology,/ɪˌpɪstɪˈmɒlədʒi/,n. 认识论,theory of knowledge,Epistemology studies how we know.,认识论研究我们如何认知。,epistemo(知识)+logy
metacognition,/ˌmetəkɒɡˈnɪʃn/,n. 元认知,thinking about thinking,Metacognition improves learning.,元认知促进学习。,meta+cognition
constructivism,/kənˈstrʌktɪvɪzəm/,n. 建构主义,learning theory,Constructivism shapes pedagogy.,建构主义塑造教学法。,
scaffolding,/ˈskæfəldɪŋ/,n. 支架式教学,temporary support,Scaffolding helps learners.,支架式教学帮助学习者。,
acumen,/ˈækjʊmən/,n. 敏锐,keen insight,Business acumen is valuable.,商业敏锐度有价值。,
conundrum,/kəˈnʌndrəm/,n. 难题,confusing problem,An ethical conundrum arose.,出现伦理难题。,
stagnation,/stæɡˈneɪʃn/,n. 停滞,lack of growth,Economic stagnation worries economists.,经济停滞令经济学家担忧。,stagn(站)+ation
formative,/ˈfɔːmətɪv/,adj. 形成性的,serving to develop,Formative assessment guides teaching.,形成性评估指导教学。,form(形成)+ative
summative,/ˈsʌmətɪv/,adj. 总结性的,at the end,Summative assessment determines grades.,总结性评估决定成绩。,summ(总结)+ative
synthesis,/ˈsɪnθəsɪs/,n. 综合,combining ideas,Essay requires synthesis.,论文需要综合能力。,syn+thesis(放置)
inquiry,/ɪnˈkwaɪəri/,n. 探究,investigation,Inquiry-based learning is effective.,探究式学习有效。,in+quiry(寻求)
cohort,/ˈkəʊhɔːt/,n. 同届学生,group of students,This cohort performs well.,这届学生表现好。,
