word,phonetic,meaning,meaningEn,example,exampleTranslation,roots
competence,/ˈkɒmpɪtəns/,n. 能力,ability to do well,Language competence is crucial.,语言能力至关重要。,com+pet(追求)+ence
proficiency,/prəˈfɪʃnsi/,n. 熟练,high degree of skill,English proficiency required.,要求英语熟练。,pro+fic(做)+iency
aptitude,/ˈæptɪtjuːd/,n. 天赋,natural ability,She shows aptitude for music.,她展现音乐天赋。,apt(适合)+itude
vocation,/vəʊˈkeɪʃn/,n. 职业,career calling,Teaching is her vocation.,教学是她的天职。,voc(声音)+ation
alumni,/əˈlʌmnaɪ/,n. 校友,former graduates,The alumni network is strong.,校友网络很强大。,
faculty,/ˈfækəlti/,n. 全体教员,teaching staff,The faculty approved the proposal.,教员们批准了提案。,facul(做)+ty
seminar,/ˈsemɪnɑː/,n. 研讨会,academic discussion,She attended a research seminar.,她参加了研究研讨会。,semin(种子)+ar
tutorial,/tjuːˈtɔːriəl/,n. 辅导课,small group teaching,Online tutorials are popular.,在线辅导课很流行。,tutor+ial
plagiarism,/ˈpleɪdʒərɪzəm/,n. 剽窃,copying others work,Plagiarism is forbidden.,严禁剽窃。,plagi(拐骗)+arism
citation,/saɪˈteɪʃn/,n. 引用,reference to source,Proper citation required.,需要正确引用。,cit(引用)+ation
annotation,/ˌænəˈteɪʃn/,n. 注释,explanatory note,Add annotations to the text.,给文本添加注释。,an+not(标记)+ation
portfolio,/pɔːtˈfəʊliəʊ/,n. 作品集,collection of work,Submit your portfolio.,提交你的作品集。,port(携带)+folio(页)
rubric,/ˈruːbrɪk/,n. 评分标准,grading guide,Follow the rubric carefully.,仔细遵循评分标准。,
criterion,/kraɪˈtɪəriən/,n. 标准,standard for judgment,This is the main criterion.,这是主要标准。,
assessment,/əˈsesmənt/,n. 评估,evaluation process,Continuous assessment is fairer.,持续评估更公平。,as+sess(坐)+ment
examination,/ɪɡˌzæmɪˈneɪʃn/,n. 考试,formal test,The final exam is next week.,期末考试在下周。,ex+amin(衡量)+ation
feedback,/ˈfiːdbæk/,n. 反馈,information response,Constructive feedback helps.,建设性反馈有帮助。,feed+back
comprehension,/ˌkɒmprɪˈhenʃn/,n. 理解力,ability to understand,Reading comprehension test.,阅读理解测试。,com+prehend(抓)+ion
retention,/rɪˈtenʃn/,n. 记忆保持,ability to retain,Retention improves with practice.,记忆力随练习提高。,re+tent(持有)+ion
dormitory,/ˈdɔːmɪtəri/,n. 宿舍,student housing,Dormitory life is memorable.,宿舍生活令人难忘。,dorm(睡)+itory
laboratory,/ləˈbɒrətəri/,n. 实验室,research facility,The lab is well equipped.,实验室设备齐全。,labor(劳动)+atory
auditorium,/ˌɔːdɪˈtɔːriəm/,n. 礼堂,large hall,The auditorium seats 500.,礼堂容纳500人。,audit(听)+orium
commencement,/kəˈmensmənt/,n. 毕业典礼,graduation ceremony,The commencement speech was inspiring.,毕业演讲很鼓舞人心。,commence+ment
tenure,/ˈtenjə/,n. 终身教职,permanent position,He received tenure.,他获得了终身教职。,ten(持有)+ure
sabbatical,/səˈbætɪkl/,n. 学术休假,research leave,She took a sabbatical year.,她休了学术假。,
prerequisite,/priːˈrekwɪzɪt/,n. 先决条件,required prior course,Math is a prerequisite.,数学是先决条件。,pre+requisite
elective,/ɪˈlektɪv/,n. 选修课,optional course,Choose two electives.,选两门选修课。,elect(选择)+ive
compulsory,/kəmˈpʌlsəri/,adj. 必修的,required,English is compulsory.,英语是必修的。,com+puls(推)+ory
